,Station,latitude,longitude,html
0,CAL1,35.632032,-98.030305,http://wichita.ogs.ou.edu/eq/heliplot/CAL1.png
1,CALT,35.6719,-98.2205,http://wichita.ogs.ou.edu/eq/heliplot/CALT.png
2,CHAN,35.652956,-96.785491,http://wichita.ogs.ou.edu/eq/heliplot/CHAN.png
3,CRES,36.037118,-97.534468,http://wichita.ogs.ou.edu/eq/heliplot/CRES.png
4,CVNG,36.3183,-97.4347,http://wichita.ogs.ou.edu/eq/heliplot/CVNG.png
5,DUST,35.2803,-96.1087,http://wichita.ogs.ou.edu/eq/heliplot/DUST.png
6,ERNS,35.4243,-98.0293,http://wichita.ogs.ou.edu/eq/heliplot/ERNS.png
7,FW07,36.44981,-98.801017,http://wichita.ogs.ou.edu/eq/heliplot/FW07.png
8,KS01,37.15342,-97.75897,http://wichita.ogs.ou.edu/eq/heliplot/KS01.png
9,KS08,37.22672,-97.970947,http://wichita.ogs.ou.edu/eq/heliplot/KS08.png
10,KS13,37.012881,-97.477803,http://wichita.ogs.ou.edu/eq/heliplot/KS13.png
11,POCA,35.217682,-98.075301,http://wichita.ogs.ou.edu/eq/heliplot/POCA.png
12,PW05,36.48506,-96.964153,http://wichita.ogs.ou.edu/eq/heliplot/PW05.png
13,PW06,36.42073,-96.972008,http://wichita.ogs.ou.edu/eq/heliplot/PW06.png
14,PW10,36.365555,-96.831053,http://wichita.ogs.ou.edu/eq/heliplot/PW10.png
15,PW19,36.56854,-97.035507,http://wichita.ogs.ou.edu/eq/heliplot/PW19.png
16,SAND,36.0576,-96.2499,http://wichita.ogs.ou.edu/eq/heliplot/SAND.png
17,SC04,34.36356,-97.473422,http://wichita.ogs.ou.edu/eq/heliplot/SC04.png
18,SC09,34.5451,-97.3657,http://wichita.ogs.ou.edu/eq/heliplot/SC09.png
19,SC10,35.422563,-98.271427,http://wichita.ogs.ou.edu/eq/heliplot/SC10.png
20,SC12,34.921667,-99.3547,http://wichita.ogs.ou.edu/eq/heliplot/SC12.png
21,SC14,34.452052,-98.243927,http://wichita.ogs.ou.edu/eq/heliplot/SC14.png
