,Station,html,latitude,longitude
0,ALVA,http://wichita.ogs.ou.edu/eq/heliplot/ALVA.png,36.8696,-98.7931
1,ARC2,http://wichita.ogs.ou.edu/eq/heliplot/ARC2.png,35.7431,-97.2725
2,BOZZ,http://wichita.ogs.ou.edu/eq/heliplot/BOZZ.png,34.08396,-95.88833
3,CALT,http://wichita.ogs.ou.edu/eq/heliplot/CALT.png,35.6719,-98.2205
4,CHAN,http://wichita.ogs.ou.edu/eq/heliplot/CHAN.png,35.652956,-96.785491
5,CRES,http://wichita.ogs.ou.edu/eq/heliplot/CRES.png,36.037118,-97.534468
6,CVNG,http://wichita.ogs.ou.edu/eq/heliplot/CVNG.png,36.3183,-97.4347
7,DOVR,http://wichita.ogs.ou.edu/eq/heliplot/DOVR.png,35.954333,-97.988182
8,DRIP,http://wichita.ogs.ou.edu/eq/heliplot/DRIP.png,35.6127,-96.065
9,DUST,http://wichita.ogs.ou.edu/eq/heliplot/DUST.png,35.2803,-96.1087
10,ERNS,http://wichita.ogs.ou.edu/eq/heliplot/ERNS.png,35.4243,-98.0293
11,FREE,http://wichita.ogs.ou.edu/eq/heliplot/FREE.png,36.9301,-99.2706
12,FW01,http://wichita.ogs.ou.edu/eq/heliplot/FW01.png,36.494607,-98.940745
13,FW02,http://wichita.ogs.ou.edu/eq/heliplot/FW02.png,36.378467,-98.729327
14,FW03,http://wichita.ogs.ou.edu/eq/heliplot/FW03.png,36.52687,-99.17294
15,FW04,http://wichita.ogs.ou.edu/eq/heliplot/FW04.png,36.59611,-98.665
16,FW05,http://wichita.ogs.ou.edu/eq/heliplot/FW05.png,36.470407,-98.605392
17,FW06,http://wichita.ogs.ou.edu/eq/heliplot/FW06.png,36.513783,-98.499062
18,FW07,http://wichita.ogs.ou.edu/eq/heliplot/FW07.png,36.44981,-98.801017
19,FW09,http://wichita.ogs.ou.edu/eq/heliplot/FW09.png,36.550787,-99.040665
20,FW10,http://wichita.ogs.ou.edu/eq/heliplot/FW10.png,36.50599,-98.718477
21,GORE,http://wichita.ogs.ou.edu/eq/heliplot/GORE.png,36.785632,-97.947062
22,KS01,http://wichita.ogs.ou.edu/eq/heliplot/KS01.png,37.15342,-97.75897
23,KS08,http://wichita.ogs.ou.edu/eq/heliplot/KS08.png,37.22672,-97.970947
24,KS13,http://wichita.ogs.ou.edu/eq/heliplot/KS13.png,37.012881,-97.477803
25,MRSH,http://wichita.ogs.ou.edu/eq/heliplot/MRSH.png,36.13231,-97.69548
26,PERK,http://wichita.ogs.ou.edu/eq/heliplot/PERK.png,35.926079,-97.129544
27,PERY,http://wichita.ogs.ou.edu/eq/heliplot/PERY.png,36.26001,-97.23505
28,POCA,http://wichita.ogs.ou.edu/eq/heliplot/POCA.png,35.217682,-98.075301
29,PW01,http://wichita.ogs.ou.edu/eq/heliplot/PW01.png,36.401813,-96.929228
30,PW05,http://wichita.ogs.ou.edu/eq/heliplot/PW05.png,36.48506,-96.964153
31,PW06,http://wichita.ogs.ou.edu/eq/heliplot/PW06.png,36.42073,-96.972008
32,PW07,http://wichita.ogs.ou.edu/eq/heliplot/PW07.png,36.504198,-96.765075
33,PW09,http://wichita.ogs.ou.edu/eq/heliplot/PW09.png,36.448013,-96.817045
34,PW10,http://wichita.ogs.ou.edu/eq/heliplot/PW10.png,36.365555,-96.831053
35,PW13,http://wichita.ogs.ou.edu/eq/heliplot/PW13.png,36.328488,-96.817845
36,PW15,http://wichita.ogs.ou.edu/eq/heliplot/PW15.png,36.468635,-97.013717
37,PW17,http://wichita.ogs.ou.edu/eq/heliplot/PW17.png,36.245382,-96.700188
38,PW18,http://wichita.ogs.ou.edu/eq/heliplot/PW18.png,36.278988,-97.044208
39,PW19,http://wichita.ogs.ou.edu/eq/heliplot/PW19.png,36.56854,-97.035507
40,PW30,http://wichita.ogs.ou.edu/eq/heliplot/PW30.png,36.4169,-96.8217
41,QUIN,http://wichita.ogs.ou.edu/eq/heliplot/QUIN.png,35.2021,-95.4692
42,RNSP,http://wichita.ogs.ou.edu/eq/heliplot/RNSP.png,35.9334,-98.4254
43,ROSS,http://wichita.ogs.ou.edu/eq/heliplot/ROSS.png,36.9472,-99.8667
44,SAND,http://wichita.ogs.ou.edu/eq/heliplot/SAND.png,36.0576,-96.2499
45,SC01,http://wichita.ogs.ou.edu/eq/heliplot/SC01.png,35.1846,-97.8202
46,SC02,http://wichita.ogs.ou.edu/eq/heliplot/SC02.png,34.7977,-97.389
47,SC03,http://wichita.ogs.ou.edu/eq/heliplot/SC03.png,34.940182,-97.848978
48,SC04,http://wichita.ogs.ou.edu/eq/heliplot/SC04.png,34.36356,-97.473422
49,SC06,http://wichita.ogs.ou.edu/eq/heliplot/SC06.png,35.073193,-97.521477
50,SC07,http://wichita.ogs.ou.edu/eq/heliplot/SC07.png,34.933695,-98.214027
51,SC08,http://wichita.ogs.ou.edu/eq/heliplot/SC08.png,34.687273,-96.393077
52,SC09,http://wichita.ogs.ou.edu/eq/heliplot/SC09.png,34.5451,-97.3657
53,SC10,http://wichita.ogs.ou.edu/eq/heliplot/SC10.png,35.422563,-98.271427
54,SC11,http://wichita.ogs.ou.edu/eq/heliplot/SC11.png,35.183265,-98.740663
55,SC12,http://wichita.ogs.ou.edu/eq/heliplot/SC12.png,34.921667,-99.3547
56,SC13,http://wichita.ogs.ou.edu/eq/heliplot/SC13.png,34.727653,-96.945632
57,SC14,http://wichita.ogs.ou.edu/eq/heliplot/SC14.png,34.452052,-98.243927
58,SC15,http://wichita.ogs.ou.edu/eq/heliplot/SC15.png,35.606645,-99.50059
59,SC16,http://wichita.ogs.ou.edu/eq/heliplot/SC16.png,35.974933,-98.815308
60,SC17,http://wichita.ogs.ou.edu/eq/heliplot/SC17.png,34.915886,-97.598334
61,SC18,http://wichita.ogs.ou.edu/eq/heliplot/SC18.png,36.502615,-97.554242
62,SC19,http://wichita.ogs.ou.edu/eq/heliplot/SC19.png,36.220151,-97.843067
63,SC20,http://wichita.ogs.ou.edu/eq/heliplot/SC20.png,35.4027,-98.4409
64,SHWN,http://wichita.ogs.ou.edu/eq/heliplot/SHWN.png,35.342772,-97.022544
65,SMNL,http://wichita.ogs.ou.edu/eq/heliplot/SMNL.png,35.29415,-96.56492
66,STIG,http://wichita.ogs.ou.edu/eq/heliplot/STIG.png,35.3406,-95.1056
67,TUTT,http://wichita.ogs.ou.edu/eq/heliplot/TUTT.png,35.238272,-97.755588
68,UCTY,http://wichita.ogs.ou.edu/eq/heliplot/UCTY.png,35.39033,-97.91585
69,WADE,http://wichita.ogs.ou.edu/eq/heliplot/WADE.png,34.1489,-97.6192
70,YUKO,http://wichita.ogs.ou.edu/eq/heliplot/YUKO.png,35.5384,-97.8606
71,AMES,http://wichita.ogs.ou.edu/eq/heliplot/AMES.png,36.335587,-98.192787
72,BCOK,http://wichita.ogs.ou.edu/eq/heliplot/BCOK.png,35.656729,-97.609276
73,BLOK,http://wichita.ogs.ou.edu/eq/heliplot/BLOK.png,36.760615,-97.215026
74,BLUF,http://wichita.ogs.ou.edu/eq/heliplot/BLUF.png,35.65666,-97.60933
75,CHOK,http://wichita.ogs.ou.edu/eq/heliplot/CHOK.png,35.561127,-97.061303
76,CROK,http://wichita.ogs.ou.edu/eq/heliplot/CROK.png,36.504737,-97.983354
77,CSTR,http://wichita.ogs.ou.edu/eq/heliplot/CSTR.png,35.645556,-98.688889
78,DEOK,http://wichita.ogs.ou.edu/eq/heliplot/DEOK.png,35.842652,-96.498262
79,ELIS,http://wichita.ogs.ou.edu/eq/heliplot/ELIS.png,36.065254,-99.418043
80,FNO,http://wichita.ogs.ou.edu/eq/heliplot/FNO.png,35.25738,-97.40115
81,FRLY,http://wichita.ogs.ou.edu/eq/heliplot/FRLY.png,35.415272,-97.45177
82,GC02,http://wichita.ogs.ou.edu/eq/heliplot/GC02.png,36.8515,-97.85959
83,GORE,http://wichita.ogs.ou.edu/eq/heliplot/GORE.png,36.785632,-97.947062
84,HTCH,http://wichita.ogs.ou.edu/eq/heliplot/HTCH.png,36.017058,-98.332692
85,LOOK,http://wichita.ogs.ou.edu/eq/heliplot/LOOK.png,33.992427,-97.17999
86,MOOR,http://wichita.ogs.ou.edu/eq/heliplot/MOOR.png,35.341792,-97.65922
87,NOKA,http://wichita.ogs.ou.edu/eq/heliplot/NOKA.png,36.63468,-98.93193
88,QUOK,http://wichita.ogs.ou.edu/eq/heliplot/QUOK.png,36.1714,-96.708
89,RLO2,http://wichita.ogs.ou.edu/eq/heliplot/RLO2.png,36.168056,-95.0275
90,SMO,http://wichita.ogs.ou.edu/eq/heliplot/SMO.png,35.523142,-97.474662
